Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,0,0,0,5,2,4,1,16,8,16,80,1024,0,0,0,1.0,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,0,0,0,5,4,2,1,16,8,16,80,1024,0,0,0,1.001,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,0,0,0,4,2,4,1,16,8,16,80,1024,0,0,0,1.002,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,0,0,0,4,4,2,1,16,8,16,80,1024,0,0,0,1.003,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,0,0,0,3,2,4,1,16,8,16,80,1024,0,0,0,1.004,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,64,1,1,1,0,0,0,3,2,4,1,16,8,16,80,1024,0,0,0,1.005,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,0,0,0,3,4,2,1,16,8,16,80,1024,0,0,0,1.006,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,64,1,1,1,0,0,0,3,4,2,1,16,8,16,80,1024,0,0,0,1.007,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,0,0,0,2,2,4,1,16,8,8,80,1024,0,0,0,1.008,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,0,0,0,5,2,2,1,16,8,16,80,1024,0,0,0,1.009,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,64,1,1,1,0,0,0,5,2,2,2,16,8,16,80,1024,0,0,0,1.01,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,64,1,1,1,0,0,0,5,2,2,1,16,8,16,80,1024,0,0,0,1.011,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,0,0,0,4,2,2,1,16,8,16,80,1024,0,0,0,1.012,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,64,1,1,1,0,0,0,4,2,2,2,16,8,16,80,1024,0,0,0,1.013,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,64,1,1,1,0,0,0,4,2,2,1,16,8,16,80,1024,0,0,0,1.014,0,0
0,CUTLASS,gemm,seed_from_AlgoDict_split1,Passed,Success,universal,16384,16384,16384,f16:row,f16:column,f16:row,f16:row,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,0,0,0,3,2,2,1,16,8,16,80,1024,0,0,0,1.015,0,0
