Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nn_align1,not_verified,success,universal,1024,1024,1024,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,12582912,2149580800,170,0.142336,82.3316,15102.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nt_align1,not_verified,success,universal,1024,1024,1024,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,12582912,2149580800,170,0.118784,98.656,18096.6
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tn_align1,not_verified,success,universal,1024,1024,1024,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,12582912,2149580800,170,0.118784,98.656,18096.6
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tt_align1,not_verified,success,universal,1024,1024,1024,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,12582912,2149580800,170,0.118784,98.656,18096.6
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nn_align1,not_verified,success,universal,1024,1024,1024,f64:column,f64:column,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,25165824,2149580800,85,3.4007,6.89196,632.099
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nt_align1,not_verified,success,universal,1024,1024,1024,f64:column,f64:row,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,25165824,2149580800,85,3.39661,6.90027,632.861
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tn_align1,not_verified,success,universal,1024,1024,1024,f64:row,f64:column,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,25165824,2149580800,85,3.39968,6.89403,632.289
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tt_align1,not_verified,success,universal,1024,1024,1024,f64:row,f64:row,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,25165824,2149580800,85,3.39866,6.89611,632.48
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nn_align1,not_verified,success,universal,1024,1024,1024,cf32:column,cf32:column,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,25165824,8598323200,341,0.22016,106.457,39054.9
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nt_align1,not_verified,success,universal,1024,1024,1024,cf32:column,cf32:row,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,25165824,8598323200,341,0.228352,102.638,37653.8
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_tn_align1,not_verified,success,universal,1024,1024,1024,cf32:row,cf32:column,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,25165824,8598323200,341,0.221184,105.964,38874.1
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_tt_align1,not_verified,success,universal,1024,1024,1024,cf32:row,cf32:row,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,25165824,8598323200,341,0.229376,102.179,37485.7
1,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nn_align1,not_verified,success,universal,1024,1024,1024,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,6291456,2149580800,341,0.162816,35.9877,13202.5
1,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nt_align1,not_verified,success,universal,1024,1024,1024,f16:column,f16:row,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,6291456,2149580800,341,0.159744,36.6798,13456.4
